Created Date,Service Item UUID,Service Item Category,Service Item Name,Duration (HH:MM),eRequest,Default Priority,Tag,Status,,
06 Sep 2024,53088c65-9a71-4d73-ab1a-30f08eec6496,Amenities,High chair for toddler,00:20,No,Medium,HSK,Active,,
06 Sep 2024,531306e4-4eb7-458d-917b-4695a9a94c8c,Laundry,Pick up Clothes for ironing,00:20,No,Medium,LDY,Active,,
06 Sep 2024,a3a3c020-3694-4126-9509-7e0d1ae61d35,Conceirge,Keycard delivery - duplicate,00:20,No,Medium,CONC,Active,,
06 Sep 2024,a341a711-d793-4e94-89d0-d0c3d1123894,Laundry,Laundry Delivery,00:20,No,Medium,LDY,Active,,
06 Sep 2024,53a8acea-72c4-40cb-95c8-8bd8b84e795f,Amenities,Milk - Regular,00:20,No,Medium,HSK,Active,,
06 Sep 2024,f3e778c4-1aed-435e-bb23-d61de78ae9bb,Amenities,Milk - Almond,00:20,No,Medium,HSK,Active,,
06 Sep 2024,cf26e70d-0a4e-4916-ac4c-d3e034893ae8,Maintenance,Toilet flush button/lever is not working,00:20,No,Medium,MAINT,Active,,
06 Sep 2024,f3896ef4-2a47-4505-92cb-cb5e2b1c4006,Amenities,Clear rubbish,00:20,No,Medium,HSK,Active,,
06 Sep 2024,285b1931-d6d4-4241-accd-25e4a74e2698,Amenities,Bath soap,00:20,No,Medium,HSK,Active,,
06 Sep 2024,0e9e7156-9ff0-4847-92a2-0d873d96874d,Amenities,Coffee capsules/pods refill,00:20,No,Medium,HSK,Active,,
06 Sep 2024,f342a8b4-8363-4123-b1c9-8c8ffb7e5ef4,Amenities,Extra Pillow - Soft,00:20,No,Medium,HSK,Active,,
06 Sep 2024,cef96107-af2c-4e2a-90f3-5bbbd7891ef9,Conceirge,Strings to tie packages,00:20,No,Medium,CONC,Active,,
06 Sep 2024,29ff9d67-7a03-4c63-abc6-0389f799a9e1,Conceirge,Keycard delivery - new,00:20,No,Medium,CONC,Active,,
06 Sep 2024,efd3dce1-4c77-4c00-abf2-a356c1730f86,Maintenance,Bathroom door faulty,00:20,No,Medium,MAINT,Active,,
06 Sep 2024,2a24d9eb-12b8-4a22-98b7-66cc693d385d,Amenities,Shampoo,00:20,No,Medium,HSK,Active,,
06 Sep 2024,cbcc7ed7-9915-42ca-acd6-d6145105fdb4,Maintenance,Shower glass door faulty,00:20,No,Medium,MAINT,Active,,
06 Sep 2024,cb8f6141-2362-4e36-a7ed-44708121fbcd,Amenities,Bottle sterilizer,00:20,No,Medium,HSK,Active,,
06 Sep 2024,010135b5-86ee-44dd-bf51-6a8f83412c2c,Amenities,Cigar set,00:20,No,Medium,HSK,Active,,
06 Sep 2024,fd0160e8-c167-441d-b43d-c07475cf5c47,Amenities,Bathroom scale,00:20,No,Medium,HSK,Active,,
06 Sep 2024,2bc0c11a-2552-4612-8465-5371ec1928bd,Amenities,Dental floss,00:20,No,Medium,HSK,Active,,
