row_id,service_item,quantity
0,Air con Issue,1
1,Air con Issue,1
2,Air con Issue,1
3,Call Redirect,1
4,Balcony Door,1
5,Air con Issue,1
6,Bathrobe,4
7,Bath mat,2
8,Air con Issue,4
9,Air con Issue,3
10,Blanket,5
11,Change Blanket,4
12,More Body lotion,1
13,Bottled Water,3
14,Clear dustbin,1
15,Minibar content removal,1
16,Basin Choked,1
17,Coffee Capsules - complimentary,1
18,Complimentary Water,1
19,Cannot connect to hotel wifi,1
20,Dental kit,1
21,Call Redirect,1
22,Blanket,1
23,Coffee Mugs,4
24,Bath towel extra,3
25,Bedside Reading Lamp Faulty,1
26,TV remote control is faulty,1
27,Sanitary pads,1
28,Birthday Amenity,1
29,Conditioner - Hair,1
30,Extra hangers,1
31,HDMI Assistance,1
32,Need Assistance,1
33,Make up room,1
34,Humidifier,1
35,Call Redirect,1
36,Coffee Sachet,1
37,Iron,1
38,Dress pressed,1
39,Laundry Bag,1
40,Pick up laundry,1
41,Pick up laundry,1
42,Cleaning of Bathroom / Bathroom Issue,1
43,Hair dryer not working,1
44,Weighting scale,1
45,Nail clipper,1
46,Loan a Phone charger,1
47,Shopping bag,1
48,Request for power adapter,1
49,Loan Umbrella,1
50,Need Assistance,1
51,Need Assistance,1
52,Call Redirect,1
53,Bathroom Ceiling Light Flickering,1
54,Need Assistance,1
55,Wash Basin Leaking,1
56,Can''t close the minibar door,1
57,No hot water in the shower,1
58,Handheld Shower Head Holder Loose,1
59,Coffee Mate,1
60,Cleaning of Bathroom,1
61,Loan a Phone charger,1
62,Extra Pillow - Firm,4
63,Extra Pillow - Firm,2
64,Air con Issue,1
65,Request for power adapter,1
66,Air con Issue,1
67,Entrance Wall Socket,1
68,Bedside Reading Lamp Faulty,1
69,Call Redirect,1
70,Keycard delivery - new,1
71,Keycard delivery - new,1
72,Make up room,1
73,Sewing kit,1
74,Shampoo,1
75,Shaving kit,1
76,Handheld Shower Head Holder Loose,1
77,Handheld Shower Head Holder Loose,1
78,Wash Basin Leaking,1
79,Slippers,3
80,Bath soap,1
81,Stationery,1
82,Stirrer,1
83,Straws,1
84,Brown Sugar,1
85,Tea bags,1
86,Tissue paper,1
87,Cleaning of Bathroom / Bathroom Issue,1
88,Cleaning of Bathroom / Bathroom Issue,1
89,Call Redirect,1
90,Bath towel extra,3
91,Bath towel extra,2
92,Call Redirect,1
93,TV No Picture,1
94,TV No Picture,1
95,TV remote control is faulty,1
96,Vanity kit,1
97,"1st WUC - MANUAL CALL Up to 3 Times. No Answer, Alert DM!",1
98,Cannot connect to hotel wifi,1
99,Extra Glasses,1
